school;user0;user1;user2;user3;user4;user5
5;0,1;0,13;0,35;0,7;0,18;0,25
5,5;0,17;0,2;0,2;0,8;0,15;0,22
6;0,17;0,27;0,25;0,5;0,11;0,16
6,3;0,12;0,13;0,05;0,9;0,08;0,12
6;0,18;0,23;0,05;1,1;0,08;0,11
17,5;0,17;0,27;0,05;0,6;0,07;0,1
16,5;0,22;0,2;1;1,2;0,09;0,13
23;0,38;0,5;0,35;1,5;0,18;0,25
21;0,43;0,6;0,25;2,2;0,19;0,27
17,5;0,27;0,4;0,2;1,6;0,84;1,2
16,5;0,17;0,2;0,05;1,7;0,77;1,1
16,4;0,22;0,3;0,05;1,5;0,21;0,3
16;0,25;0,33;1,75;1;0,08;0,12
16,5;0,22;0,31;1,6;1,6;0,09;0,13
16,8;0,27;0,33;0,4;1,9;0,11;0,16
17;0,22;0,33;1,75;2;0,47;0,67
16;0,22;0,23;0,05;1,8;0,49;0,7
16,2;0,3;0,4;0,2;1,9;0,28;0,4
6,75;0,37;0,47;0,4;2,2;0,36;0,52
5;0,67;0,67;0,3;2,4;0,57;0,82
5,5;1;1,4;1,5;2,5;0,56;0,8
2;0,5;0,87;0,3;1,7;0,44;0,63
2,2;0,2;0,27;0,3;1,3;0,56;0,8
2,5;0,2;0,27;0,6;1;0,44;0,63
5;0,1;0,13;0,35;0,7;0,18;0,25
5,5;0,17;0,2;0,2;0,8;0,15;0,22
6;0,17;0,27;0,25;0,5;0,11;0,16
6,3;0,12;0,13;0,05;0,9;0,08;0,12
6;0,18;0,23;0,05;1,1;0,08;0,11
17,5;0,17;0,27;0,05;0,6;0,07;0,1
16,5;0,22;0,2;1;1,2;0,09;0,13
23;0,38;0,5;0,35;1,5;0,18;0,25
21;0,43;0,6;0,25;2,2;0,19;0,27
17,5;0,27;0,4;0,2;1,6;0,84;1,2
16,5;0,17;0,2;0,05;1,7;0,77;1,1
16,4;0,22;0,3;0,05;1,5;0,21;0,3
16;0,25;0,33;1,75;1;0,08;0,12
16,5;0,22;0,31;1,6;1,6;0,09;0,13
16,8;0,27;0,33;0,4;1,9;0,11;0,16
17;0,22;0,33;1,75;2;0,47;0,67
16;0,22;0,23;0,05;1,8;0,49;0,7
16,2;0,3;0,4;0,2;1,9;0,28;0,4
6,75;0,37;0,47;0,4;2,2;0,36;0,52
5;0,67;0,67;0,3;2,4;0,57;0,82
5,5;1;1,4;1,5;2,5;0,56;0,8
2;0,5;0,87;0,3;1,7;0,44;0,63
2,2;0,2;0,27;0,3;1,3;0,56;0,8
2,5;0,2;0,27;0,6;1;0,44;0,63
5;0,1;0,13;0,35;0,7;0,18;0,25
5,5;0,17;0,2;0,2;0,8;0,15;0,22
6;0,17;0,27;0,25;0,5;0,11;0,16
6,3;0,12;0,13;0,05;0,9;0,08;0,12
6;0,18;0,23;0,05;1,1;0,08;0,11
17,5;0,17;0,27;0,05;0,6;0,07;0,1
16,5;0,22;0,2;1;1,2;0,09;0,13
23;0,38;0,5;0,35;1,5;0,18;0,25
21;0,43;0,6;0,25;2,2;0,19;0,27
17,5;0,27;0,4;0,2;1,6;0,84;1,2
16,5;0,17;0,2;0,05;1,7;0,77;1,1
16,4;0,22;0,3;0,05;1,5;0,21;0,3
16;0,25;0,33;1,75;1;0,08;0,12
16,5;0,22;0,31;1,6;1,6;0,09;0,13
16,8;0,27;0,33;0,4;1,9;0,11;0,16
17;0,22;0,33;1,75;2;0,47;0,67
16;0,22;0,23;0,05;1,8;0,49;0,7
16,2;0,3;0,4;0,2;1,9;0,28;0,4
6,75;0,37;0,47;0,4;2,2;0,36;0,52
5;0,67;0,67;0,3;2,4;0,57;0,82
5,5;1;1,4;1,5;2,5;0,56;0,8
2;0,5;0,87;0,3;1,7;0,44;0,63
2,2;0,2;0,27;0,3;1,3;0,56;0,8
2,5;0,2;0,27;0,6;1;0,44;0,63
5;0,1;0,13;0,35;0,7;0,18;0,25
5,5;0,17;0,2;0,2;0,8;0,15;0,22
6;0,17;0,27;0,25;0,5;0,11;0,16
6,3;0,12;0,13;0,05;0,9;0,08;0,12
6;0,18;0,23;0,05;1,1;0,08;0,11
17,5;0,17;0,27;0,05;0,6;0,07;0,1
16,5;0,22;0,2;1;1,2;0,09;0,13
23;0,38;0,5;0,35;1,5;0,18;0,25
21;0,43;0,6;0,25;2,2;0,19;0,27
17,5;0,27;0,4;0,2;1,6;0,84;1,2
16,5;0,17;0,2;0,05;1,7;0,77;1,1
16,4;0,22;0,3;0,05;1,5;0,21;0,3
16;0,25;0,33;1,75;1;0,08;0,12
16,5;0,22;0,31;1,6;1,6;0,09;0,13
16,8;0,27;0,33;0,4;1,9;0,11;0,16
17;0,22;0,33;1,75;2;0,47;0,67
16;0,22;0,23;0,05;1,8;0,49;0,7
16,2;0,3;0,4;0,2;1,9;0,28;0,4
6,75;0,37;0,47;0,4;2,2;0,36;0,52
5;0,67;0,67;0,3;2,4;0,57;0,82
5,5;1;1,4;1,5;2,5;0,56;0,8
2;0,5;0,87;0,3;1,7;0,44;0,63
2,2;0,2;0,27;0,3;1,3;0,56;0,8
2,5;0,2;0,27;0,6;1;0,44;0,63
5;0,1;0,13;0,35;0,7;0,18;0,25
5,5;0,17;0,2;0,2;0,8;0,15;0,22
6;0,17;0,27;0,25;0,5;0,11;0,16
6,3;0,12;0,13;0,05;0,9;0,08;0,12
6;0,18;0,23;0,05;1,1;0,08;0,11
17,5;0,17;0,27;0,05;0,6;0,07;0,1
16,5;0,22;0,2;1;1,2;0,09;0,13
23;0,38;0,5;0,35;1,5;0,18;0,25
21;0,43;0,6;0,25;2,2;0,19;0,27
17,5;0,27;0,4;0,2;1,6;0,84;1,2
16,5;0,17;0,2;0,05;1,7;0,77;1,1
16,4;0,22;0,3;0,05;1,5;0,21;0,3
16;0,25;0,33;1,75;1;0,08;0,12
16,5;0,22;0,31;1,6;1,6;0,09;0,13
16,8;0,27;0,33;0,4;1,9;0,11;0,16
17;0,22;0,33;1,75;2;0,47;0,67
16;0,22;0,23;0,05;1,8;0,49;0,7
16,2;0,3;0,4;0,2;1,9;0,28;0,4
6,75;0,37;0,47;0,4;2,2;0,36;0,52
5;0,67;0,67;0,3;2,4;0,57;0,82
5,5;1;1,4;1,5;2,5;0,56;0,8
2;0,5;0,87;0,3;1,7;0,44;0,63
2,2;0,2;0,27;0,3;1,3;0,56;0,8
2,5;0,2;0,27;0,6;1;0,44;0,63
2,4;0,12;0,16;0,35;0,7;0,23;0,325
2,75;0,2;0,24;0,2;0,8;0,2;0,286
3;0,2;0,32;0,25;0,5;0,15;0,208
3,15;0,14;0,16;0,05;0,9;0,11;0,156
2,75;0,22;0,28;0,05;1,1;0,1;0,143
8,75;0,2;0,32;0,05;0,6;0,09;0,13
8,25;0,26;0,24;1;1,2;0,12;0,169
11,5;0,46;0,6;0,35;1,5;0,25;0,351
10;0,52;0,72;0,25;2,2;1,09;1,56
8,75;0,32;0,48;0,2;1,6;1;1,43
8,25;0,2;0,24;0,05;1,7;0,28;0,4
8,1;0,26;0,36;0,05;1,5;0,11;0,156
8;0,3;0,4;1,75;1;0,12;0,17
8,25;0,26;0,37;1,6;1,6;0,15;0,208
8,4;0,32;0,4;0,4;1,9;0,61;0,871
8,5;0,26;0,4;1,75;2;0,64;0,91
8;0,26;0,28;0,05;1,8;0,36;0,52
8,1;0,36;0,48;0,2;1,9;0,47;0,676
3,37;0,44;0,56;0,4;2,2;0,75;1,066
2,5;0,8;0,8;0,3;2,4;0,73;1,04
2,75;1,2;1,68;1,5;2,5;0,57;0,81
1;0,6;1,04;0,3;1,7;0,73;1,04
1,1;0,24;0,32;0,3;1,3;0,57;0,81
1,25;0,24;0,32;0,6;1;0,48;0,68
2,4;0,12;0,16;0,35;0,7;0,23;0,325
