,I_beam [W/m2],I_skydiff [W/m2],I_grounddiff [W/m2],t_amb [C]
0,0.0,0.0,0.0,2.44
1,0.0,0.0,0.0,2.44
2,0.0,0.0,0.0,2.44
3,0.0,0.0,0.0,2.44
4,0.0,0.0,0.0,1.8
5,0.0,0.0,0.0,1.8
6,0.0,0.0,0.0,1.8
7,0.0,0.0,0.0,1.8
8,0.0,0.0,0.0,1.61
9,0.0,0.0,0.0,1.61
10,0.0,0.0,0.0,1.61
11,0.0,0.0,0.0,1.61
12,0.0,0.0,0.0,1.58
13,0.0,0.0,0.0,1.58
14,0.0,0.0,0.0,1.58
15,0.0,0.0,0.0,1.58
16,0.0,0.0,0.0,1.2
17,0.0,0.0,0.0,1.2
18,0.0,0.0,0.0,1.2
19,0.0,0.0,0.0,1.2
20,0.0,0.0,0.0,0.6
21,0.0,0.0,0.0,0.6
22,0.0,0.0,0.0,0.6
23,0.0,0.0,0.0,0.6
24,0.0,0.0,0.0,-0.05
25,0.0,0.0,0.0,-0.05
26,0.0,0.0,0.0,-0.05
27,0.0,0.0,0.0,-0.05
28,0.0,22.29,0.33,1.3
29,0.0,22.29,0.33,1.3
30,0.0,22.29,0.33,1.3
31,0.0,22.29,0.33,1.3
32,368.29,97.53,2.79,2.63
33,368.29,97.53,2.79,2.63
34,368.29,97.53,2.79,2.63
35,368.29,97.53,2.79,2.63
36,356.9,171.51,3.95,5.57
37,356.9,171.51,3.95,5.57
38,356.9,171.51,3.95,5.57
39,356.9,171.51,3.95,5.57
40,675.25,116.41,5.6,7.53
41,675.25,116.41,5.6,7.53
42,675.25,116.41,5.6,7.53
43,675.25,116.41,5.6,7.53
44,711.6,118.77,5.96,8.35
45,711.6,118.77,5.96,8.35
46,711.6,118.77,5.96,8.35
47,711.6,118.77,5.96,8.35
48,644.91,127.21,5.49,8.91
49,644.91,127.21,5.49,8.91
50,644.91,127.21,5.49,8.91
51,644.91,127.21,5.49,8.91
52,358.33,168.3,3.91,9.25
53,358.33,168.3,3.91,9.25
54,358.33,168.3,3.91,9.25
55,358.33,168.3,3.91,9.25
56,377.15,89.46,2.73,9.26
57,377.15,89.46,2.73,9.26
58,377.15,89.46,2.73,9.26
59,377.15,89.46,2.73,9.26
60,0.0,20.51,0.31,8.4
61,0.0,20.51,0.31,8.4
62,0.0,20.51,0.31,8.4
63,0.0,20.51,0.31,8.4
64,0.0,0.0,0.0,8.36
65,0.0,0.0,0.0,8.36
66,0.0,0.0,0.0,8.36
67,0.0,0.0,0.0,8.36
68,0.0,0.0,0.0,7.48
69,0.0,0.0,0.0,7.48
70,0.0,0.0,0.0,7.48
71,0.0,0.0,0.0,7.48
72,0.0,0.0,0.0,6.57
73,0.0,0.0,0.0,6.57
74,0.0,0.0,0.0,6.57
75,0.0,0.0,0.0,6.57
76,0.0,0.0,0.0,4.59
77,0.0,0.0,0.0,4.59
78,0.0,0.0,0.0,4.59
79,0.0,0.0,0.0,4.59
80,0.0,0.0,0.0,2.75
81,0.0,0.0,0.0,2.75
82,0.0,0.0,0.0,2.75
83,0.0,0.0,0.0,2.75
84,0.0,0.0,0.0,1.2
85,0.0,0.0,0.0,1.2
86,0.0,0.0,0.0,1.2
87,0.0,0.0,0.0,1.2
88,0.0,0.0,0.0,0.25
89,0.0,0.0,0.0,0.25
90,0.0,0.0,0.0,0.25
91,0.0,0.0,0.0,0.25
92,0.0,0.0,0.0,-0.38
93,0.0,0.0,0.0,-0.38
94,0.0,0.0,0.0,-0.38
95,0.0,0.0,0.0,-0.38
96,0.0,0.0,0.0,-0.79
97,0.0,0.0,0.0,-0.79
98,0.0,0.0,0.0,-0.79
99,0.0,0.0,0.0,-0.79
100,0.0,0.0,0.0,-1.57
101,0.0,0.0,0.0,-1.57
102,0.0,0.0,0.0,-1.57
103,0.0,0.0,0.0,-1.57
104,0.0,0.0,0.0,-1.51
105,0.0,0.0,0.0,-1.51
106,0.0,0.0,0.0,-1.51
107,0.0,0.0,0.0,-1.51
108,0.0,0.0,0.0,-1.55
109,0.0,0.0,0.0,-1.55
110,0.0,0.0,0.0,-1.55
111,0.0,0.0,0.0,-1.55
112,0.0,0.0,0.0,-1.66
113,0.0,0.0,0.0,-1.66
114,0.0,0.0,0.0,-1.66
115,0.0,0.0,0.0,-1.66
116,0.0,0.0,0.0,-1.76
117,0.0,0.0,0.0,-1.76
118,0.0,0.0,0.0,-1.76
119,0.0,0.0,0.0,-1.76
120,0.0,0.0,0.0,-1.86
121,0.0,0.0,0.0,-1.86
122,0.0,0.0,0.0,-1.86
123,0.0,0.0,0.0,-1.86
124,0.0,25.86,0.39,-0.72
125,0.0,25.86,0.39,-0.72
126,0.0,25.86,0.39,-0.72
127,0.0,25.86,0.39,-0.72
128,352.77,100.6,2.75,1.37
129,352.77,100.6,2.75,1.37
130,352.77,100.6,2.75,1.37
131,352.77,100.6,2.75,1.37
132,533.24,117.93,4.42,5.26
133,533.24,117.93,4.42,5.26
134,533.24,117.93,4.42,5.26
135,533.24,117.93,4.42,5.26
136,666.1,117.2,5.56,8.02
137,666.1,117.2,5.56,8.02
138,666.1,117.2,5.56,8.02
139,666.1,117.2,5.56,8.02
140,677.46,130.34,5.85,9.41
141,677.46,130.34,5.85,9.41
142,677.46,130.34,5.85,9.41
143,677.46,130.34,5.85,9.41
144,567.01,155.43,5.28,10.02
145,567.01,155.43,5.28,10.02
146,567.01,155.43,5.28,10.02
147,567.01,155.43,5.28,10.02
148,104.41,172.79,2.84,10.11
149,104.41,172.79,2.84,10.11
150,104.41,172.79,2.84,10.11
151,104.41,172.79,2.84,10.11
152,419.2,73.54,2.83,9.7
153,419.2,73.54,2.83,9.7
154,419.2,73.54,2.83,9.7
155,419.2,73.54,2.83,9.7
156,0.0,26.75,0.4,8.48
157,0.0,26.75,0.4,8.48
158,0.0,26.75,0.4,8.48
159,0.0,26.75,0.4,8.48
160,0.0,0.0,0.0,6.26
161,0.0,0.0,0.0,6.26
162,0.0,0.0,0.0,6.26
163,0.0,0.0,0.0,6.26
164,0.0,0.0,0.0,3.74
165,0.0,0.0,0.0,3.74
166,0.0,0.0,0.0,3.74
167,0.0,0.0,0.0,3.74
168,0.0,0.0,0.0,1.88
169,0.0,0.0,0.0,1.88
170,0.0,0.0,0.0,1.88
171,0.0,0.0,0.0,1.88
172,0.0,0.0,0.0,1.34
173,0.0,0.0,0.0,1.34
174,0.0,0.0,0.0,1.34
175,0.0,0.0,0.0,1.34
176,0.0,0.0,0.0,0.79
177,0.0,0.0,0.0,0.79
178,0.0,0.0,0.0,0.79
179,0.0,0.0,0.0,0.79
180,0.0,0.0,0.0,0.6
181,0.0,0.0,0.0,0.6
182,0.0,0.0,0.0,0.6
183,0.0,0.0,0.0,0.6
184,0.0,0.0,0.0,0.24
185,0.0,0.0,0.0,0.24
186,0.0,0.0,0.0,0.24
187,0.0,0.0,0.0,0.24
188,0.0,0.0,0.0,0.01
189,0.0,0.0,0.0,0.01
190,0.0,0.0,0.0,0.01
191,0.0,0.0,0.0,0.01
192,0.0,0.0,0.0,-0.66
193,0.0,0.0,0.0,-0.66
194,0.0,0.0,0.0,-0.66
195,0.0,0.0,0.0,-0.66
196,0.0,0.0,0.0,-0.2
197,0.0,0.0,0.0,-0.2
198,0.0,0.0,0.0,-0.2
199,0.0,0.0,0.0,-0.2
200,0.0,0.0,0.0,-0.53
201,0.0,0.0,0.0,-0.53
202,0.0,0.0,0.0,-0.53
203,0.0,0.0,0.0,-0.53
204,0.0,0.0,0.0,-0.82
205,0.0,0.0,0.0,-0.82
206,0.0,0.0,0.0,-0.82
207,0.0,0.0,0.0,-0.82
208,0.0,0.0,0.0,-1.01
209,0.0,0.0,0.0,-1.01
210,0.0,0.0,0.0,-1.01
211,0.0,0.0,0.0,-1.01
212,0.0,0.0,0.0,-1.24
213,0.0,0.0,0.0,-1.24
214,0.0,0.0,0.0,-1.24
215,0.0,0.0,0.0,-1.24
216,0.0,0.0,0.0,-1.1
217,0.0,0.0,0.0,-1.1
218,0.0,0.0,0.0,-1.1
219,0.0,0.0,0.0,-1.1
220,0.0,30.32,0.46,-0.44
221,0.0,30.32,0.46,-0.44
222,0.0,30.32,0.46,-0.44
223,0.0,30.32,0.46,-0.44
224,403.17,90.76,2.91,0.38
225,403.17,90.76,2.91,0.38
226,403.17,90.76,2.91,0.38
227,403.17,90.76,2.91,0.38
228,527.88,129.96,4.5,3.24
229,527.88,129.96,4.5,3.24
230,527.88,129.96,4.5,3.24
231,527.88,129.96,4.5,3.24
232,553.56,172.88,5.37,4.09
233,553.56,172.88,5.37,4.09
234,553.56,172.88,5.37,4.09
235,553.56,172.88,5.37,4.09
236,465.28,214.14,5.36,4.28
237,465.28,214.14,5.36,4.28
238,465.28,214.14,5.36,4.28
239,465.28,214.14,5.36,4.28
240,594.72,156.21,5.47,4.32
241,594.72,156.21,5.47,4.32
242,594.72,156.21,5.47,4.32
243,594.72,156.21,5.47,4.32
244,565.87,112.57,4.57,3.91
245,565.87,112.57,4.57,3.91
246,565.87,112.57,4.57,3.91
247,565.87,112.57,4.57,3.91
248,26.95,96.86,1.46,3.22
249,26.95,96.86,1.46,3.22
250,26.95,96.86,1.46,3.22
251,26.95,96.86,1.46,3.22
252,0.0,27.64,0.42,2.53
253,0.0,27.64,0.42,2.53
254,0.0,27.64,0.42,2.53
255,0.0,27.64,0.42,2.53
256,0.0,0.0,0.0,1.57
257,0.0,0.0,0.0,1.57
258,0.0,0.0,0.0,1.57
259,0.0,0.0,0.0,1.57
260,0.0,0.0,0.0,0.49
261,0.0,0.0,0.0,0.49
