x;y
0;0.1
0.25;0.1
0.5;0.1
1;0.1
1.25;0.1
1.5;0.1
1.75;0.1
2;0.1
2.25;0.1
2.5;0.1
2.75;0.1
3;0.1
3.25;0.1
3.5;0.1
3.75;0.1
4;0.1
4.25;0.1
4.5;0.1
4.75;0.1
5;0.1
5.25;0.1
5.5;0.1
5.75;0.1
6;0.1
6.25;0.1
6.5;0.1
6.75;0.1
7;0.1
7.25;0.1
7.5;0.1
7.75;0.1
8;0.1
8.25;0.1
8.5;0.1
8.75;0.1
9;0.1
9.25;0.1
9.5;0.1
9.75;0.1
10;0.1
10.25;0.1
10.5;0.1
10.75;0.1
11;0.1
11.25;0.1
11.5;0.1
11.75;0.1
12;0.1
12.25;0.1
12.5;0.1
12.75;0.1
13;0.1
13.25;0.1
13.5;0.1
13.75;0.1
14;0.1
14.25;0.1
14.5;0.1
14.75;0.1
15;0.1
15.25;0.1
15.5;0.1
15.75;0.1
16;0.1
16.25;0.1
16.5;0.1
16.75;0.1
17;0.1
17.25;0.1
17.5;0.1
17.75;0.1
18;0.1
18.25;0.1
18.5;0.1
18.75;0.1
19;0.1
19.25;0.1
19.5;0.1
19.75;0.1
20;0.1
20.25;0.1
20.5;0.1
20.75;0.1
21;0.1
21.25;0.1
21.5;0.1
21.75;0.1
22;0.1
22.25;0.1
22.5;0.1
22.75;0.1
23;0.1
23.25;0.1
23.5;0.1
23.75;0.1
