school;pool;pmi;user0;user1;user2;user3;user4;user5;user6
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;380;;;;;;;
0;330;384.75;;;;;;;
0;330;389.5;;;;;;;
0;330;394.25;;;;;;;
0;330;399;;;;;;;
0;330;403.75;;;;;;;
0;330;408.5;;;;;;;
0;330;413.25;;;;;;;
0;330;418;;;;;;;
0;330;432.25;;;;;;;
0;330;446.5;;;;;;;
0;330;460.75;;;;;;;
0;330;475;;;;;;;
0;330;584.25;;;;;;;
0;330;693.5;;;;;;;
0;330;802.75;;;;;;;
0;410;912;;;;;;;
0;404.3384615;907.25;;;;;;;
0;404.3384615;902.5;;;;;;;
0;404.3384615;897.75;;;;;;;
0;404.3384615;893;;;;;;;
0;401.0646154;916.75;;;;;;;
0;401.0646154;940.5;;;;;;;
0;401.0646154;964.25;;;;;;;
0;401.0646154;988;;;;;;;
0;393.8276923;978.5;;;;;;;
0;393.8276923;969;;;;;;;
0;393.8276923;959.5;;;;;;;
0;393.8276923;950;;;;;;;
0;389.0030769;935.75;;;;;;;
0;389.0030769;921.5;;;;;;;
0;389.0030769;907.25;;;;;;;
0;389.0030769;893;;;;;;;
0;386.9846154;897.75;;;;;;;
0;386.9846154;902.5;;;;;;;
0;386.9846154;907.25;;;;;;;
0;386.9846154;912;;;;;;;
0;385.6061538;926.25;;;;;;;
0;385.6061538;940.5;;;;;;;
0;385.6061538;954.75;;;;;;;
0;385.6061538;969;;;;;;;
0;384.7692308;978.5;;;;;;;
0;384.7692308;988;;;;;;;
0;384.7692308;997.5;;;;;;;
0;384.7692308;1007;;;;;;;
0;384.7446154;973.75;;;;;;;
0;384.7446154;940.5;;;;;;;
0;384.7446154;907.25;;;;;;;
0;384.7446154;874;;;;;;;
0;386.8615385;888.25;;;;;;;
0;386.8615385;902.5;;;;;;;
0;386.8615385;916.75;;;;;;;
0;386.8615385;931;;;;;;;
0;386.96;940.5;;;;;;;
0;386.96;950;;;;;;;
0;386.96;959.5;;;;;;;
0;386.96;969;;;;;;;
0;389.1261538;959.5;;;;;;;
0;389.1261538;950;;;;;;;
